script_id,strategy,repetition,turn,question,target_fact_id,agent_response,ground_truth
tech_01,baseline,0,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
tech_01,baseline,0,10,Are third-party plugin failures excluded from warranty coverage?,F4,I don't know,"[""Third-party plugin failures are excluded from warranty coverage"", ""Warranty coverage does not include external plugin failures"", ""Warranty coverage excludes third-party plugin failures.""]"
tech_01,baseline,0,15,Where is the affected deployment hosted?,F6,The affected deployment is hosted in the European region.,"[""The Frankfurt data center"", ""The deployment hosted in Frankfurt"", ""The affected deployment is hosted in the Frankfurt data center.""]"
tech_01,baseline,0,20,What does the customer plan to renew next quarter?,F7,I don't know,"[""The customer plans to renew the support agreement next quarter"", ""A support agreement renewal is planned for next quarter""]"
tech_01,baseline,0,25,What is the temporary workaround?,F8,Restarting the authentication service every six hours temporarily restores user access for five to six hours.,"[""Restarting the authentication service every six hours"", ""A six-hour authentication service restart workaround"", ""The temporary workaround is restarting the authentication service every six hours.""]"
tech_01,baseline,1,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
tech_01,baseline,1,10,Are third-party plugin failures excluded from warranty coverage?,F4,I don't know,"[""Third-party plugin failures are excluded from warranty coverage"", ""Warranty coverage does not include external plugin failures"", ""Warranty coverage excludes third-party plugin failures.""]"
tech_01,baseline,1,15,Where is the affected deployment hosted?,F6,Europe,"[""The Frankfurt data center"", ""The deployment hosted in Frankfurt"", ""The affected deployment is hosted in the Frankfurt data center.""]"
tech_01,baseline,1,20,What does the customer plan to renew next quarter?,F7,The customer plans to renew their enterprise software support subscription next quarter.,"[""The customer plans to renew the support agreement next quarter"", ""A support agreement renewal is planned for next quarter""]"
tech_01,baseline,1,25,What is the temporary workaround?,F8,Restarting the authentication service every six hours temporarily restores user access.,"[""Restarting the authentication service every six hours"", ""A six-hour authentication service restart workaround"", ""The temporary workaround is restarting the authentication service every six hours.""]"
tech_01,baseline,2,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
tech_01,baseline,2,10,Are third-party plugin failures excluded from warranty coverage?,F4,I don't know,"[""Third-party plugin failures are excluded from warranty coverage"", ""Warranty coverage does not include external plugin failures"", ""Warranty coverage excludes third-party plugin failures.""]"
tech_01,baseline,2,15,Where is the affected deployment hosted?,F6,The affected deployment is hosted in Europe.,"[""The Frankfurt data center"", ""The deployment hosted in Frankfurt"", ""The affected deployment is hosted in the Frankfurt data center.""]"
tech_01,baseline,2,20,What does the customer plan to renew next quarter?,F7,The customer plans to renew their contract or service next quarter.,"[""The customer plans to renew the support agreement next quarter"", ""A support agreement renewal is planned for next quarter""]"
tech_01,baseline,2,25,What is the temporary workaround?,F8,Restarting the authentication service every six hours temporarily restores access and prevents login failures.,"[""Restarting the authentication service every six hours"", ""A six-hour authentication service restart workaround"", ""The temporary workaround is restarting the authentication service every six hours.""]"
tech_01,baseline,3,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
tech_01,baseline,3,10,Are third-party plugin failures excluded from warranty coverage?,F4,I don't know,"[""Third-party plugin failures are excluded from warranty coverage"", ""Warranty coverage does not include external plugin failures"", ""Warranty coverage excludes third-party plugin failures.""]"
tech_01,baseline,3,15,Where is the affected deployment hosted?,F6,The affected deployment is hosted in Europe.,"[""The Frankfurt data center"", ""The deployment hosted in Frankfurt"", ""The affected deployment is hosted in the Frankfurt data center.""]"
tech_01,baseline,3,20,What does the customer plan to renew next quarter?,F7,I don't know,"[""The customer plans to renew the support agreement next quarter"", ""A support agreement renewal is planned for next quarter""]"
tech_01,baseline,3,25,What is the temporary workaround?,F8,Restarting the authentication service every six hours restores access temporarily.,"[""Restarting the authentication service every six hours"", ""A six-hour authentication service restart workaround"", ""The temporary workaround is restarting the authentication service every six hours.""]"
tech_01,baseline,4,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
tech_01,baseline,4,10,Are third-party plugin failures excluded from warranty coverage?,F4,I don't know,"[""Third-party plugin failures are excluded from warranty coverage"", ""Warranty coverage does not include external plugin failures"", ""Warranty coverage excludes third-party plugin failures.""]"
tech_01,baseline,4,15,Where is the affected deployment hosted?,F6,The affected deployment is hosted in Europe.,"[""The Frankfurt data center"", ""The deployment hosted in Frankfurt"", ""The affected deployment is hosted in the Frankfurt data center.""]"
tech_01,baseline,4,20,What does the customer plan to renew next quarter?,F7,The customer plans to renew their support or service agreement next quarter.,"[""The customer plans to renew the support agreement next quarter"", ""A support agreement renewal is planned for next quarter""]"
tech_01,baseline,4,25,What is the temporary workaround?,F8,Restarting the authentication service every six hours to restore access temporarily.,"[""Restarting the authentication service every six hours"", ""A six-hour authentication service restart workaround"", ""The temporary workaround is restarting the authentication service every six hours.""]"
tech_01,rolling_summary,0,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
tech_01,rolling_summary,0,10,Are third-party plugin failures excluded from warranty coverage?,F4,I don't know,"[""Third-party plugin failures are excluded from warranty coverage"", ""Warranty coverage does not include external plugin failures"", ""Warranty coverage excludes third-party plugin failures.""]"
tech_01,rolling_summary,0,15,Where is the affected deployment hosted?,F6,I don't know,"[""The Frankfurt data center"", ""The deployment hosted in Frankfurt"", ""The affected deployment is hosted in the Frankfurt data center.""]"
tech_01,rolling_summary,0,20,What does the customer plan to renew next quarter?,F7,I don't know,"[""The customer plans to renew the support agreement next quarter"", ""A support agreement renewal is planned for next quarter""]"
tech_01,rolling_summary,0,25,What is the temporary workaround?,F8,Authentication service restarts restore access for around five to six hours before failures recur.,"[""Restarting the authentication service every six hours"", ""A six-hour authentication service restart workaround"", ""The temporary workaround is restarting the authentication service every six hours.""]"
tech_01,rolling_summary,1,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
tech_01,rolling_summary,1,10,Are third-party plugin failures excluded from warranty coverage?,F4,I don't know,"[""Third-party plugin failures are excluded from warranty coverage"", ""Warranty coverage does not include external plugin failures"", ""Warranty coverage excludes third-party plugin failures.""]"
tech_01,rolling_summary,1,15,Where is the affected deployment hosted?,F6,I don't know,"[""The Frankfurt data center"", ""The deployment hosted in Frankfurt"", ""The affected deployment is hosted in the Frankfurt data center.""]"
tech_01,rolling_summary,1,20,What does the customer plan to renew next quarter?,F7,I don't know,"[""The customer plans to renew the support agreement next quarter"", ""A support agreement renewal is planned for next quarter""]"
tech_01,rolling_summary,1,25,What is the temporary workaround?,F8,Restarting the authentication service restores access temporarily for around five to six hours.,"[""Restarting the authentication service every six hours"", ""A six-hour authentication service restart workaround"", ""The temporary workaround is restarting the authentication service every six hours.""]"
tech_01,rolling_summary,2,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
tech_01,rolling_summary,2,10,Are third-party plugin failures excluded from warranty coverage?,F4,I don't know,"[""Third-party plugin failures are excluded from warranty coverage"", ""Warranty coverage does not include external plugin failures"", ""Warranty coverage excludes third-party plugin failures.""]"
tech_01,rolling_summary,2,15,Where is the affected deployment hosted?,F6,I don't know,"[""The Frankfurt data center"", ""The deployment hosted in Frankfurt"", ""The affected deployment is hosted in the Frankfurt data center.""]"
tech_01,rolling_summary,2,20,What does the customer plan to renew next quarter?,F7,I don't know,"[""The customer plans to renew the support agreement next quarter"", ""A support agreement renewal is planned for next quarter""]"
tech_01,rolling_summary,2,25,What is the temporary workaround?,F8,Restarting the authentication service restores access for about five to six hours before failures recur.,"[""Restarting the authentication service every six hours"", ""A six-hour authentication service restart workaround"", ""The temporary workaround is restarting the authentication service every six hours.""]"
tech_01,rolling_summary,3,5,Which version of the OrionDesk ticketing platform is the customer using?,F1,I don't know,"[""OrionDesk version 5.4.2"", ""Version 5.4.2 of the OrionDesk platform"", ""The customer uses the OrionDesk ticketing platform version 5.4.2.""]"
