script_id,strategy,repetition,turn,question,target_fact_id,agent_response,ground_truth
travel_01,baseline,0,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,baseline,0,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,baseline,0,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,baseline,0,20,Through which city is the traveler considering rerouting if seats open up?,F8,The traveler is considering rerouting through Amsterdam if seats open up.,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,baseline,0,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,baseline,1,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,baseline,1,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,baseline,1,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,baseline,1,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,baseline,1,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,baseline,2,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,baseline,2,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,baseline,2,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,baseline,2,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,baseline,2,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,baseline,3,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,baseline,3,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,baseline,3,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,baseline,3,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,baseline,3,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,baseline,4,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,baseline,4,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,baseline,4,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,baseline,4,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,baseline,4,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rolling_summary,0,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rolling_summary,0,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rolling_summary,0,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rolling_summary,0,20,Through which city is the traveler considering rerouting if seats open up?,F8,The traveler is considering rerouting through Rome if seats open up.,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rolling_summary,0,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rolling_summary,1,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rolling_summary,1,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rolling_summary,1,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rolling_summary,1,20,Through which city is the traveler considering rerouting if seats open up?,F8,Rome,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rolling_summary,1,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rolling_summary,2,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rolling_summary,2,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rolling_summary,2,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rolling_summary,2,20,Through which city is the traveler considering rerouting if seats open up?,F8,The traveler is considering rerouting through Rome if seats open up.,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rolling_summary,2,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rolling_summary,3,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rolling_summary,3,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rolling_summary,3,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rolling_summary,3,20,Through which city is the traveler considering rerouting if seats open up?,F8,Rome,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rolling_summary,3,25,Which airline operated the Paris-Rome leg?,F2,I don't know,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rolling_summary,4,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rolling_summary,4,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rolling_summary,4,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rolling_summary,4,20,Through which city is the traveler considering rerouting if seats open up?,F8,The traveler is considering rerouting through Rome if seats open up.,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rolling_summary,4,25,Which airline operated the Paris-Rome leg?,F2,I don't know,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,hierarchical,0,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,hierarchical,0,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,hierarchical,0,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,hierarchical,0,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,hierarchical,0,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,hierarchical,1,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,hierarchical,1,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
